LGL Constituent ID,Constituent Name,Constituent Type,Contact Type,Prefix,First Name,Last Name,Middle Name,Maiden name,Suffix,Nick Name,Addressee,Annual Report Name,Spouse Name,Spouse Nick Name,Salutation,Alt. Addressee,Alt. Salutation,Honorary Name,Assistant Name,Job Title,Org Name,Groups,Communication Tags,Giving Status,Acknowledgment Preference,Newsletter,Tags,Background Info,Deceased?,Deceased Date,Date Added
944042,Rebecca Parr,Individual,Primary,"",Rebecca,Parr,"",,,,Rebecca Parr,Rebecca Parr,"","",Rebecca,Rebecca Parr,Rebecca,Rebecca Parr,,"","",Board Member;member-monthly,,Non Donor,,Subscribe,,,No,,2020-03-18
944047,Sarah Hurst,Individual,Primary,"",Sarah,Hurst,"",,,,Sarah Hurst,Sarah Hurst,"","",Sarah,Sarah Hurst,Sarah,Sarah Hurst,,"","",2020 Volunteer;Board Member,,Non Donor,,Subscribe,realtor,,No,,2020-03-18
944052,Brittany Shultz,Individual,Primary,"",Brittany,Shultz,"","",,"",Brittany Shultz,Brittany Shultz,Daniel Shultz,"",Brittany,Brittany Shultz,Brittany,Brittany Shultz,,"","",2020 Volunteer;Team Member,,Non Donor,,Subscribe,committee garden;Instructor,,No,,2020-03-18
944057,Daniel Shultz,Individual,Primary,"",Daniel,Shultz,"","",,"",Daniel Shultz,Daniel Shultz,Brittany Shultz,,Daniel,Daniel Shultz,Daniel,Daniel Shultz,,"","",2020 Volunteer,,Non Donor,,Subscribe,Instructor,,No,,2020-03-18
944062,Chander Bhateja PhD.,Individual,Primary,,Chander,Bhateja PhD.,,,,,Chander Bhateja PhD.,Chander Bhateja PhD.,,,Chander,Chander Bhateja PhD.,Chander,Chander Bhateja PhD.,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944067,Randall Leyshon,Individual,Primary,,Randall G.,Leyshon,,,,,Randall Leyshon,Randall Leyshon,,,Randall,Randall Leyshon,Randall,Randall Leyshon,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944072,Matthew Flynn,Individual,Primary,,Matthew,Flynn,,,,,Matthew Flynn,Matthew Flynn,,,Matthew,Matthew Flynn,Matthew,Matthew Flynn,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944077,Molly Cripps,Individual,Primary,,Molly,Cripps,,,,,Molly Cripps,Molly Cripps,,,Molly,Molly Cripps,Molly,Molly Cripps,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944082,Liz Albertson,Individual,Primary,,Liz,Albertson,,,,,Liz Albertson,Liz Albertson,,,Liz,Liz Albertson,Liz,Liz Albertson,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944087,Jay Witherspoon,Individual,Primary,,Jay,Witherspoon,,,,,Jay Witherspoon,Jay Witherspoon,,,Jay,Jay Witherspoon,Jay,Jay Witherspoon,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
